-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,,,,,
Location: Latitude  18.4524   Longitude 46.8871 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 667.74 meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,
T2M                     MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,
PS                      MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,T2M,QV2M,PS,WS10M,WD10M
2021,1,1,0,0,-999,0,10.63,2.14,93.97,2.33,121.29
2021,1,1,1,0,-999,0,10.07,2.2,93.93,2.27,141.43
2021,1,1,2,0,-999,0,9.15,2.2,93.91,2.35,165.36
2021,1,1,3,0,-999,0,7.83,2.2,93.92,2.61,191.58
2021,1,1,4,0,-999,0,6.39,2.2,93.96,3.03,212.91
2021,1,1,5,0,-999,0,5.46,2.14,94.03,3.35,225.66
2021,1,1,6,16.44,0.42,0.02,5.2,2.14,94.1,3.4,231.16
2021,1,1,7,197.65,0.64,0.25,8.48,2.08,94.16,3.4,231.71
2021,1,1,8,438.9,0.76,1.55,11.5,2.08,94.2,3.96,229.08
2021,1,1,9,647.46,0.8,3.67,14.74,2.14,94.19,3.2,209.57
2021,1,1,10,790.52,0.82,5.85,18.14,2.2,94.13,3.14,179.29
2021,1,1,11,862.68,0.83,7.08,20.62,2.14,94.02,3,168.72
2021,1,1,12,860.83,0.83,7.02,21.87,2.14,93.9,2.83,170.46
2021,1,1,13,779.64,0.82,5.6,22.69,2.01,93.79,2.74,172.31
2021,1,1,14,629.22,0.8,3.45,23.03,1.95,93.72,2.58,171.31
2021,1,1,15,417.58,0.74,1.4,22.71,1.89,93.69,2.29,164.54
