-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  29.7848   Longitude 40.0998 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 685.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_KT,T2M,QV2M,PS,WS10M,WD10M
2021,1,1,0,0.0,0.0,-999.0,8.03,6.65,93.99,3.62,85.05
2021,1,1,1,0.0,0.0,-999.0,8.01,6.65,94.0,3.5,91.92
2021,1,1,2,0.0,0.0,-999.0,8.03,6.65,94.0,3.41,98.58
2021,1,1,3,0.0,0.0,-999.0,8.01,6.59,93.98,3.33,101.65
2021,1,1,4,0.0,0.0,-999.0,7.92,6.59,93.98,3.26,104.87
2021,1,1,5,0.0,0.0,-999.0,7.86,6.53,94.0,3.15,107.9
2021,1,1,6,0.0,0.0,-999.0,7.71,6.47,94.03,3.07,108.99
2021,1,1,7,26.64,0.02,0.37,7.6,6.41,94.08,2.94,107.95
2021,1,1,8,175.64,0.23,0.54,8.15,6.41,94.15,2.88,104.94
2021,1,1,9,358.77,1.0,0.65,9.14,6.47,94.2,2.77,100.07
2021,1,1,10,509.47,2.15,0.7,10.97,6.47,94.19,2.71,92.32
2021,1,1,11,599.23,3.08,0.73,12.8,6.47,94.13,2.74,90.16
2021,1,1,12,614.74,3.23,0.72,14.01,6.47,94.04,2.76,90.0
